"player-name","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 19","footable-last-visible"
"Abarca Fernandez, Matias","6","190:39","21","33","5","15.2","55","32","58.2","18","14","77.8","93","5","35","40","10","0","16","11"
"Aburto Morales, Fabian","4","77:47","7","14","1","7.1","24","11","45.8","4","1","25","26","4","9","13","10","0","4","7"
"Aburto Quezada, Javier","3","12:27","2","0","0","0","5","2","40","2","0","0","4","1","2","3","0","0","1","4"
"Aceiton Mora, Joaquim","4","35:08","7","1","0","0","7","2","28.6","4","3","75","7","1","4","5","2","0","2","8"
"Aceiton Mora, Karim","2","11:49","3","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Acevedo Frugone, benjamin","2","19:24","5","2","0","0","3","0","0","0","0","0","0","0","0","0","1","0","1","1"
"Acevedo Palacios, Sebastian","1","4:37","0","0","0","0","1","0","0","2","0","0","0","1","2","3","0","0","0","0"
"Acevedo Quezada, Tomas","4","49:16","2","14","7","50","5","2","40","7","4","57.1","29","2","11","13","1","1","1","5"
"Acuna Avello, Rodrigo","6","147:54","19","11","2","18.2","18","3","16.7","2","1","50","13","7","21","28","9","3","12","21"
"Acuna Henriquez, Fernando","6","154:21","17","28","5","17.9","36","11","30.6","26","18","69.2","55","4","19","23","10","1","15","21"
"Adasme Crumacher, Benjamin","6","134:22","13","1","0","0","42","26","61.9","29","8","27.6","60","10","40","50","18","10","11","11"
"Adasme Rojas, Benjamin","6","144:56","12","22","5","22.7","19","6","31.6","18","10","55.6","37","3","14","17","10","1","19","24"
"Adrian Reyes, Hans H.","2","50:27","4","13","3","23.1","15","9","60","3","2","66.7","29","5","10","15","2","1","0","6"
"Aedo Zuleta, Mauro","1","25:43","5","4","2","50","6","4","66.7","2","0","0","14","0","6","6","1","0","1","10"
"Aguayo Ferrada, Juan J.","6","154:49","8","14","2","14.3","41","23","56.1","16","5","31.3","57","6","33","39","10","2","7","8"
"Aguilar Navarrete, Marco","4","117:12","12","20","7","35","34","14","41.2","26","15","57.7","64","3","26","29","1","1","8","22"
"Aguilar Santos, Sebastian","6","127:37","8","10","0","0","31","15","48.4","10","6","60","36","8","16","24","6","0","9","10"
"Aguilera Espinoza, Felipe","7","129:07","2","22","4","18.2","18","9","50","10","7","70","37","3","15","18","3","0","15","15"
"Aguilera Nunez, Gabriel","4","41:36","3","1","0","0","7","4","57.1","0","0","0","8","1","9","10","1","0","1","2"
"Aguirre Mendez, Martin","4","112:28","7","5","1","20","23","12","52.2","2","1","50","28","3","6","9","3","1","5","6"
"Aguirre Quintanilla, Lukas","1","12:24","0","2","0","0","2","0","0","0","0","0","0","0","0","0","1","0","2","0"
"Agusto Duran, Eduardo","2","30:49","6","0","0","0","7","1","14.3","8","4","50","6","7","6","13","0","0","1","1"
"Ahumada Fernandez, Joaquin I.","1","0:52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alarcon Grijalba, Lukas","1","4:34","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0"
"Alarcon Uribe, David I.","2","38:08","2","18","6","33.3","5","1","20","4","4","100","24","4","4","8","11","0","6","1"
"Albornoz Lara, Rodrigo","4","82:37","2","5","0","0","17","11","64.7","3","3","100","25","6","10","16","10","1","17","8"
"Albornoz Rojas, Marcelo","5","112:21","16","9","2","22.2","31","12","38.7","13","6","46.2","36","5","10","15","7","1","7","13"
"Alfaro Molina, Joaquin","4","23:40","2","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Almendras Delavenne, Kai","5","38:58","4","7","2","28.6","6","1","16.7","0","0","0","8","0","6","6","0","0","3","8"
"Almonacid Silva, Jeremias","3","18:33","0","1","0","0","3","1","33.3","0","0","0","2","3","2","5","0","0","0","5"
"Alonso Figueroa, Agustin","4","64:37","2","4","0","0","20","11","55","7","2","28.6","24","4","3","7","4","0","4","6"
"Altamirano Altamirano, Matias","3","30:21","0","1","0","0","2","0","0","2","0","0","0","0","4","4","0","0","0","4"
"Alvarado Sanzana, Juan","5","158:31","7","48","18","37.5","57","28","49.1","19","15","78.9","125","10","25","35","11","2","19","17"
"Alvarez-Salamanca, Lukas","7","98:00","8","12","1","8.3","14","3","21.4","4","4","100","13","7","12","19","3","2","3","8"
"Alvarez Donoso, Lukas R.","2","9:33","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","1"
"Alvarez Flanega, Alfredo","5","143:44","12","1","0","0","77","41","53.2","16","8","50","90","22","31","53","8","5","5","7"
"Alvarez Huerta, Jean","3","53:17","6","4","0","0","6","3","50","4","0","0","6","1","9","10","1","0","1","1"
"Amar Guerra, Raul","5","171:31","11","27","8","29.6","54","30","55.6","34","29","85.3","113","8","56","64","7","0","14","28"
"Amilson, Louis Benson","6","115:57","9","17","1","5.9","46","24","52.2","18","9","50","60","19","22","41","9","3","11","15"
"Ampuero Oviedo, Bernardo S.","2","17:36","2","5","0","0","7","0","0","0","0","0","0","0","3","3","1","0","1","0"
"Andrade Contreras, Benjamin A.","1","8:49","2","1","0","0","2","0","0","0","0","0","0","1","0","1","0","0","0","2"
"Anriquez Marinivic, Simon","7","193:01","9","41","15","36.6","34","20","58.8","20","12","60","97","1","31","32","14","0","24","23"
"Anselmo Anselmo, Luigi","6","124:40","14","19","2","10.5","40","19","47.5","16","11","68.8","55","11","29","40","23","2","14","22"
"Apablaza Fernandez, Nicolas E.","6","188:18","17","26","6","23.1","45","27","60","19","11","57.9","83","10","32","42","24","0","19","11"
"Aragon Silva, Maximiliano I.","3","81:17","16","1","0","0","32","16","50","17","8","47.1","40","12","27","39","5","5","3","16"
"Arancibia Carvallo, Felipe","4","86:57","2","17","8","47.1","7","2","28.6","3","2","66.7","30","0","8","8","1","0","0","4"
"Arancibia Lagos, Esteban","4","33:46","9","2","0","0","8","3","37.5","0","0","0","6","6","9","15","2","0","0","4"
"Aranda Liberona, Benjamin","5","31:05","4","2","0","0","3","2","66.7","0","0","0","4","0","10","10","1","0","1","2"
"Araneda Ortiz, Benjamin","5","85:04","4","1","0","0","44","22","50","17","5","29.4","49","19","30","49","12","2","8","4"
"Aranguiz Aravena, Andres","5","169:28","19","24","5","20.8","41","16","39","9","4","44.4","51","9","26","35","4","4","7","27"
"Aravena Allende, Jose","3","74:34","3","4","1","25","18","9","50","4","2","50","23","3","9","12","1","0","1","7"
"Aravena Donoso, Cristopher","6","122:11","7","2","0","0","47","24","51.1","20","12","60","60","26","25","51","6","2","7","4"
"Aravena Quesney, Joaquin A.","1","5:16","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aravena Vasquez, Lautaro","1","3:47","0","0","0","0","2","2","100","0","0","0","4","0","2","2","0","0","0","2"
"Araya Castillo, Juan","1","4:12","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"Araya Neira, Guillermo","2","4:27","1","0","0","0","2","0","0","0","0","0","0","0","2","2","0","0","0","0"
"Arce Heredia, Nicolas","3","54:27","7","1","0","0","2","2","100","2","1","50","5","5","9","14","0","0","1","3"
"Arcos Concha, Javier","2","4:43","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","1"
"Areblad de los Reyes, Mathias","2","26:37","1","3","1","33.3","5","0","0","2","1","50","4","0","0","0","1","0","1","3"
"Arias Sepulveda, Jeremy","3","70:24","3","2","0","0","30","3","10","2","1","50","7","3","16","19","1","1","0","2"
"Arismendi Jimenez, Nicolas","4","38:00","0","3","0","0","13","9","69.2","0","0","0","18","2","3","5","0","0","3","8"
"Arostica Diaz, Juan","4","40:53","4","2","0","0","5","3","60","2","1","50","7","2","5","7","1","0","1","4"
"Arujo Gorrin, Juan","1","3:13","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"Asencio Avendano, Matias L.","3","40:04","2","6","1","16.7","4","3","75","0","0","0","9","3","10","13","2","1","0","3"
"Astudillo Bustamante, Nicolas","1","1:40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Astudillo Escalona, Franco","6","141:17","10","19","5","26.3","52","22","42.3","10","5","50","64","5","15","20","18","0","10","16"
"Avila Pacheco, Matias","1","6:00","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ayala Fuentes, Jorge","4","93:55","5","16","5","31.3","24","8","33.3","6","4","66.7","35","1","16","17","6","1","6","5"
"Bahamondes Diaz, Roman","3","26:48","1","1","0","0","9","3","33.3","2","1","50","7","3","2","5","1","0","5","4"
"Balboa Bustamante, Eduardo","3","75:10","7","5","0","0","27","3","11.1","2","0","0","6","1","1","2","8","0","11","25"
"Barcelo Soltman, Ignacio","1","2:37","0","0","0","0","0","0","0","2","2","100","2","0","0","0","0","0","0","2"
"Barraza Alfaro, Benjamin T.","7","234:05","14","45","14","31.1","48","25","52.1","16","9","56.3","101","7","25","32","10","1","12","26"
"Barraza Alfaro, Christopher","6","102:17","6","7","2","28.6","30","12","40","4","4","100","34","2","12","14","2","0","3","10"
"Barraza Andrada, Yuri","2","40:45","1","7","1","14.3","18","6","33.3","2","1","50","16","0","7","7","5","1","4","2"
"Barrera Luna, Roberto","6","85:34","11","0","0","0","21","16","76.2","6","3","50","35","23","12","35","5","0","6","7"
"Barria Vilches, Francisco","4","91:15","9","8","1","12.5","32","15","46.9","7","3","42.9","36","2","6","8","5","3","13","5"
"Barros Lebanek, Sebastian","6","152:38","13","15","3","20","46","23","50","22","8","36.4","63","14","25","39","11","2","13","14"
"Becerra Coronado, Eduardo","3","32:32","1","2","0","0","6","1","16.7","0","0","0","2","2","3","5","1","0","0","9"
"Becerra Valdebenito, Benjamin","1","20:40","0","4","1","25","7","2","28.6","0","0","0","7","0","1","1","0","0","1","2"
"Becerra Valdebenito, Luis","6","151:07","16","25","1","4","29","12","41.4","5","2","40","29","1","20","21","10","0","30","10"
"Behn Van Haaster, Sebastian","5","122:19","3","19","3","15.8","12","3","25","0","0","0","15","4","20","24","3","2","5","13"
"Belmar Villarroel, Cesar I.","6","140:31","2","17","5","29.4","25","15","60","11","8","72.7","53","7","18","25","12","0","23","13"
"Belmar Villarroel, Sebastian","6","147:02","9","29","6","20.7","32","12","37.5","8","4","50","46","7","20","27","13","5","19","5"
"Beltran Acevedo, Francisco","6","225:49","17","64","22","34.4","38","13","34.2","9","5","55.6","97","8","34","42","13","2","17","26"
"Beltran Pena, Gabriel J.","5","125:14","9","9","2","22.2","48","20","41.7","13","8","61.5","54","17","27","44","9","2","18","7"
"Benavente Velasquez, Renato","1","3:51","0","0","0","0","1","1","100","0","0","0","2","0","1","1","0","0","0","1"
"Benavides Dominguez, Javier","4","124:08","10","15","5","33.3","26","11","42.3","8","3","37.5","40","5","21","26","22","0","10","13"
"Benavides Monsalve, Benjamin","5","81:03","13","0","0","0","17","6","35.3","4","1","25","13","4","11","15","8","1","2","16"
"Berger Garcia, Nicolas","2","14:49","0","1","0","0","2","1","50","0","0","0","2","1","1","2","1","0","1","1"
"Bernal Gonzalez, Rafael","3","26:17","2","1","0","0","5","1","20","0","0","0","2","1","4","5","1","0","0","4"
"Berrios Corbinaud, Armando","7","136:22","18","19","4","21.1","26","12","46.2","2","2","100","38","9","21","30","9","4","7","12"
"Besserer La Caille, Juan","1","1:07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Blacutt Torres, Andres","4","19:54","6","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","3"
"Blacutt Torres, Juan Pablo","4","85:12","12","7","1","14.3","24","11","45.8","11","4","36.4","29","4","18","22","3","1","4","14"
"Bonilla Palma, Jose","1","20:23","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","3"
"Bravo Ahumada, Ignacio A.","6","134:40","14","8","2","25","31","17","54.8","18","10","55.6","50","10","15","25","6","0","11","21"
"Briones Osorio, Esteban A.","6","150:15","9","22","6","27.3","31","16","51.6","4","3","75","53","5","16","21","12","0","16","14"
"Brower, Caleb Clay","4","52:46","1","6","0","0","8","3","37.5","0","0","0","6","6","14","20","2","0","4","8"
"Bustos Perez, Felipe","1","12:54","1","7","2","28.6","1","0","0","0","0","0","6","0","3","3","0","0","0","2"
"Caballero Soto, Alonso","6","32:10","3","2","0","0","1","1","100","2","1","50","3","1","3","4","0","0","3","7"
"Cabezas Osorio, Jordan","6","135:47","12","24","11","45.8","37","22","59.5","23","19","82.6","96","8","22","30","17","1","18","11"
"Cabrera Barriga, Felix","3","30:36","3","6","1","16.7","3","1","33.3","0","0","0","5","0","2","2","0","0","0","1"
"Cabrera Perez, Cristobal","5","113:54","12","0","0","0","33","14","42.4","12","3","25","31","9","16","25","4","0","5","13"
"Caceres Cerda, Ignacio E.","7","202:19","14","29","7","24.1","51","28","54.9","17","6","35.3","83","17","29","46","9","3","2","10"
"Caglieri Silva, Cristopher","6","111:17","9","3","1","33.3","28","13","46.4","10","5","50","34","15","16","31","6","1","2","6"
"Calabrano Alvarez, Luciano","2","14:56","3","0","0","0","2","1","50","2","2","100","4","0","2","2","0","0","0","1"
"Campos Mardones, Jose I.","2","57:27","7","16","4","25","12","5","41.7","9","7","77.8","29","4","14","18","11","1","7","9"
"Canales Bustamante, Camilo","4","20:21","12","0","0","0","4","1","25","0","0","0","2","2","5","7","1","0","0","3"
"Canales Fierro, Benjamin A.","3","30:08","8","1","1","100","4","2","50","0","0","0","7","4","2","6","0","0","2","2"
"Canales Magna, Benjamin","1","7:13","0","0","0","0","1","0","0","0","0","0","0","1","2","3","0","0","0","1"
"Caneo Salinas, Gasphar","5","60:29","6","12","1","8.3","14","4","28.6","9","4","44.4","15","4","9","13","5","1","1","5"
"Cantillana Salinas, Pablo","7","153:33","2","40","15","37.5","19","9","47.4","2","2","100","65","5","16","21","8","0","14","12"
"Caravia Johnson, Vicente","3","17:10","3","2","0","0","1","1","100","0","0","0","2","0","3","3","1","0","1","3"
"Caro Donoso, Gonzalo","7","181:39","25","12","3","25","26","7","26.9","12","9","75","32","3","24","27","10","3","29","18"
"Caro Penaloza, Joaquin","3","24:23","3","1","0","0","7","2","28.6","2","0","0","4","1","4","5","2","0","2","4"
"Carrasco Godoy, Jose","4","129:23","11","13","1","7.7","26","12","46.2","23","7","30.4","34","5","27","32","0","0","9","17"
"Carrasco Zuñiga, Bernardo","1","4:12","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Carreno Castillo, Diego","2","14:46","4","0","0","0","5","0","0","0","0","0","0","1","4","5","1","0","0","1"
"Casanova Genaro, Valentin","4","30:00","1","5","0","0","1","0","0","0","0","0","0","0","8","8","1","0","3","3"
"Casarino Espinoza, Ricardo","6","81:08","7","6","0","0","17","8","47.1","2","1","50","17","6","9","15","2","0","2","12"
"Castillo Castillo, Joaquin","2","45:23","4","6","1","16.7","7","1","14.3","5","4","80","9","5","3","8","4","0","2","9"
"Castillo Diaz, Jose","6","171:16","17","30","6","20","57","18","31.6","28","13","46.4","67","15","37","52","8","2","5","21"
"Castillo Jimenez, Nicolas","4","61:53","6","7","3","42.9","3","2","66.7","1","1","100","14","7","14","21","2","0","5","5"
"Castillo Riffo, Juan P.","6","106:26","12","11","4","36.4","8","7","87.5","4","3","75","29","2","8","10","9","0","4","9"
"Castro Castillo, Lian","3","85:50","13","16","1","6.3","44","20","45.5","16","8","50","51","6","13","19","8","0","9","12"
"Castro Estrada, Oscar","1","14:43","0","0","0","0","0","0","0","0","0","0","0","1","3","4","0","0","0","1"
"Castro Gaete, Jacob","6","100:13","9","6","0","0","11","4","36.4","2","0","0","8","5","11","16","2","0","4","16"
"Catalan Araya, Benjamin","3","32:15","5","5","1","20","3","0","0","0","0","0","3","0","5","5","2","0","1","0"
"Catalan Araya, Matias","5","95:02","22","6","1","16.7","26","10","38.5","9","4","44.4","27","13","30","43","7","0","3","3"
"Cayo Suarez, Ricardo","2","8:12","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Cendoya Ferrada, Roman","6","122:11","10","20","1","5","29","18","62.1","11","8","72.7","47","10","7","17","9","0","12","7"
"Cerda Carrasco, Hector A.","2","45:19","7","1","0","0","17","5","29.4","2","1","50","11","12","12","24","9","3","5","4"
"Cerda Domke, Marius","6","117:15","10","21","8","38.1","58","35","60.3","15","7","46.7","101","25","21","46","16","5","17","11"
"Ceron Gonzalez, Jesus","5","103:40","12","0","0","0","29","6","20.7","3","0","0","12","9","21","30","2","3","4","7"
"Cerpa Agurto, Alfonso","5","107:41","9","19","2","10.5","26","9","34.6","4","1","25","25","2","12","14","3","0","1","12"
"Cespedes Leyton, Jeremias","4","11:50","2","1","1","100","3","1","33.3","0","0","0","5","1","2","3","0","0","0","4"
"Chaparro Puebla, Joaquin A.","2","7:39","4","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Chaparro Sagredo, Rafael I.","5","111:18","9","34","6","17.6","16","4","25","2","2","100","28","3","21","24","16","1","7","7"
"Chavez Gutierrez, Diego","3","37:08","1","4","0","0","5","3","60","0","0","0","6","2","7","9","0","0","1","2"
"Cifuentes Alvarez, Nicolas","2","11:35","2","1","0","0","3","0","0","0","0","0","0","0","3","3","0","0","0","3"
"Cisternas Vergara, Felipe","3","54:22","8","4","3","75","3","1","33.3","2","1","50","12","1","7","8","0","0","0","8"
"Cisterna Vidal, Christian","3","38:10","7","6","2","33.3","10","4","40","1","1","100","15","7","7","14","3","1","1","3"
"Claveria Torres, Agustin A.","6","83:01","12","1","0","0","5","1","20","2","2","100","4","2","4","6","3","0","4","4"
"Colivoro Gonzalez, Sergio","5","76:10","12","9","2","22.2","15","4","26.7","2","0","0","14","1","6","7","3","0","5","15"
"Coloma Aedo, Renato","6","86:43","9","15","7","46.7","16","8","50","5","5","100","42","10","7","17","13","1","3","7"
"Colomera Betancourt, Lucas","3","35:23","5","0","0","0","10","6","60","4","2","50","14","3","9","12","5","0","1","5"
"Contreras Garcia, Joaquin","2","43:32","2","5","0","0","13","7","53.8","7","7","100","21","1","12","13","2","0","7","2"
"Contreras Valenzuela, Martin S.","3","52:24","5","2","0","0","9","2","22.2","6","4","66.7","8","5","5","10","0","0","2","3"
"Contreras Valenzuela, Sebastian","7","125:06","11","9","2","22.2","19","15","78.9","5","1","20","37","8","10","18","17","1","10","8"
"Conua Vedrdugo, Freddy","3","34:34","6","4","2","50","4","2","50","4","1","25","11","4","3","7","3","2","2","4"
"Cordero Zurita, Felipe","7","169:56","12","20","2","10","46","18","39.1","14","10","71.4","52","7","22","29","19","4","15","16"
"Cornejo Bobadilla, Braulio M.","1","14:31","1","5","3","60","0","0","0","0","0","0","9","0","0","0","0","0","0","1"
"Coro Molkembuhr, Vicente","6","220:09","18","46","14","30.4","60","28","46.7","21","11","52.4","109","16","37","53","15","2","10","15"
"Coronado del Valle, Bastian","3","19:31","4","2","0","0","4","3","75","1","1","100","7","0","4","4","0","0","1","2"
"Coronado Paillaguala, Lukas","4","102:22","11","7","2","28.6","15","6","40","8","5","62.5","23","10","19","29","10","2","4","13"
"Correa Aburto, Camilo","6","168:55","9","21","4","19","35","20","57.1","19","15","78.9","67","9","20","29","13","3","14","21"
"CORTES, JESUS","6","113:27","8","10","2","20","37","21","56.8","10","5","50","53","6","8","14","2","0","2","17"
"Corvalan Gonzalez, Agustin","6","81:22","16","17","4","23.5","10","4","40","2","1","50","21","0","7","7","5","0","2","6"
"Cotal Araya, Eugenio E.","6","106:04","7","26","5","19.2","31","13","41.9","4","1","25","42","2","18","20","6","3","16","10"
"Crisosto Urrutia, Martin N.","6","80:16","5","9","3","33.3","17","7","41.2","4","2","50","25","7","12","19","2","0","9","7"
"Crovetto Soto, Lorenzo A.","7","104:00","11","24","5","20.8","11","4","36.4","15","8","53.3","31","2","12","14","7","0","14","5"
"Cubillos Cabrera, Mario","5","73:09","5","4","0","0","12","4","33.3","2","2","100","10","3","4","7","9","0","3","3"
"Cuellar Sepulveda, David","5","140:53","19","4","0","0","39","16","41","12","8","66.7","40","9","27","36","3","0","6","9"
"Cueto Gonzalez, David","1","7:25","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Cuevas Tropa, Hector","6","93:35","13","7","4","57.1","26","9","34.6","14","5","35.7","35","11","15","26","11","0","9","8"
"Cvrlje Pressac, Marcel R.","2","39:42","3","1","0","0","4","2","50","2","0","0","4","0","3","3","0","0","0","3"
"Davies Pagola, Simon","7","218:51","15","58","19","32.8","31","21","67.7","8","6","75","105","13","16","29","8","2","12","19"
"Davila Ortiz, Tomas I.","4","101:37","9","11","2","18.2","4","1","25","2","1","50","9","5","11","16","5","0","6","13"
"Delgado Azua, Matias","4","66:51","4","19","4","21.1","23","15","65.2","4","3","75","45","3","4","7","4","0","7","3"
"Delgado Garrido, Benjamin","4","47:06","1","6","1","16.7","6","4","66.7","4","2","50","13","2","5","7","4","0","3","3"
"Del Rio Lahr, Sebastian","4","36:14","1","4","0","0","5","0","0","0","0","0","0","1","4","5","2","0","3","5"
"Diaz Caro, Cristobal A.","7","86:09","11","11","2","18.2","16","4","25","2","0","0","14","3","8","11","5","2","2","10"
"Diaz Gonzalez, Matias A.","6","135:54","8","23","4","17.4","25","9","36","22","11","50","41","7","10","17","6","0","13","18"
"Diaz Lara, Renato","1","2:10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Diaz Mella, Cristobal","3","27:03","0","0","0","0","0","0","0","2","0","0","0","1","3","4","0","1","0","2"
"Diaz Munoz, Francisco","1","8:26","0","3","0","0","1","1","100","0","0","0","2","0","1","1","0","0","0","2"
"Diaz Riquleme, Diego","3","23:25","2","3","1","33.3","5","0","0","0","0","0","3","4","4","8","3","0","0","1"
"Diaz Rueda, Nicolas","2","2:01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Diaz Soto, Pablo","7","205:15","21","46","13","28.3","13","5","38.5","10","4","40","53","2","24","26","10","0","4","11"
"Dominguez Herrera, Carlos O.","5","138:16","9","24","4","16.7","38","15","39.5","16","7","43.8","49","9","28","37","1","0","4","20"
"Dominguez Larranaga, Francisco J.","5","44:19","7","0","0","0","8","1","12.5","0","0","0","2","5","13","18","3","0","4","2"
"Donoso Pacheco, Ignacio","3","40:21","3","1","0","0","4","1","25","4","3","75","5","0","4","4","2","0","1","6"
"Dumbar Pinto, Neysan","2","12:37","0","0","0","0","3","1","33.3","0","0","0","2","2","1","3","0","0","0","1"
"Duran Ramirez, Sebastian A.","3","40:16","4","11","3","27.3","3","2","66.7","3","3","100","16","7","7","14","0","0","1","3"
"Echeverria Aguirre, David","3","25:30","2","0","0","0","3","1","33.3","2","0","0","2","1","3","4","0","0","1","2"
"Elgarrista Escobar, Javier","1","16:33","1","1","0","0","2","2","100","0","0","0","4","0","0","0","0","0","2","0"
"Escalona Cornejo, Nicolas","6","160:25","9","21","6","28.6","38","22","57.9","14","9","64.3","71","7","23","30","8","0","16","12"
