"playerNumber","playerName","playerName href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 20","footable-last-visible"
"14","A. Alvarez Flanega","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061147%3F","26:13","24","3","0","0","0","15","11","73.3","2","2","100","6","7","13","2","1","4","1","39"
"4","B. Rojas Plaza","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061157%3F","4:49","0","0","3","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","4"
"10","C. Gallegos Moya","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061148%3F","16:31","2","4","2","0","0","4","1","25","2","0","0","0","0","0","1","5","0","1","0"
"15","D. Morales Gonzalez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061155%3F","31:48","14","1","0","0","0","10","7","70","1","0","0","1","4","5","0","6","1","1","21"
"6","G. Rojo Arqueros","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061151%3F","14:45","9","0","1","1","100","3","3","100","0","0","0","0","0","0","3","0","0","1","11"
"8","J. Arostica Diaz","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061150%3F","11:52","2","1","1","0","0","2","1","50","0","0","0","2","2","4","1","1","0","3","3"
"5","K. Peters Diaz","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061154%3F","9:53","2","0","1","0","0","2","1","50","0","0","0","0","3","3","2","1","0","1","5"
"11","L. Castro Castillo","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061161%3F","27:31","17","3","5","0","0","20","7","35","7","3","42.9","4","3","7","4","3","0","3","6"
"13","M. Rojas Salinas","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061159%3F","26:49","18","1","5","1","20","13","7","53.8","2","1","50","3","2","5","2","7","0","5","16"
"7","N. Ortiz de Zarate","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061149%3F","19:25","9","2","0","0","0","8","4","50","2","1","50","2","3","5","0","1","1","1","10"
"12","R. Bernal Gonzalez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061162%3F","6:13","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1"
"9","W. Romero Arancibia","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061156%3F","4:05","3","0","2","1","50","0","0","0","0","0","0","1","1","2","0","0","1","0","5"